density_pct,pct_single_comp_all,pct_single_comp_vpt,pct_single_comp_ft
0.25,0,0,0
0.5,0,0,0
0.75,0,0,0
1,0,0,0
1.25,0,0,0
1.5,0,0,0
1.75,0,0,0
2,0,0,0
2.25,0.925925925925926,0,4.44444444444444
2.5,1.85185185185185,1.16959064327485,4.44444444444444
2.75,1.38888888888889,1.16959064327485,2.22222222222222
3,2.77777777777778,2.33918128654971,4.44444444444444
3.25,5.55555555555556,4.67836257309941,8.88888888888889
3.5,7.87037037037037,6.4327485380117,13.3333333333333
3.75,10.1851851851852,8.7719298245614,15.5555555555556
4,14.8148148148148,14.6198830409357,15.5555555555556
4.25,19.4444444444444,19.8830409356725,17.7777777777778
4.5,24.0740740740741,25.7309941520468,17.7777777777778
4.75,32.4074074074074,34.5029239766082,24.4444444444444
5,40.2777777777778,42.1052631578947,33.3333333333333
5.25,44.4444444444444,43.859649122807,46.6666666666667
5.5,49.537037037037,48.5380116959064,53.3333333333333
5.75,55.5555555555556,55.5555555555556,55.5555555555556
6,60.1851851851852,60.8187134502924,57.7777777777778
6.25,62.962962962963,63.1578947368421,62.2222222222222
6.5,70.8333333333333,73.0994152046784,62.2222222222222
6.75,75.462962962963,76.6081871345029,71.1111111111111
7,80.5555555555556,80.7017543859649,80
7.25,85.1851851851852,87.1345029239766,77.7777777777778
7.5,88.8888888888889,88.8888888888889,88.8888888888889
7.75,89.8148148148148,90.0584795321637,88.8888888888889
8,93.5185185185185,94.7368421052632,88.8888888888889
8.25,93.9814814814815,94.7368421052632,91.1111111111111
8.5,95.3703703703704,96.4912280701754,91.1111111111111
8.75,96.7592592592593,97.6608187134503,93.3333333333333
9,97.2222222222222,97.6608187134503,95.5555555555556
9.25,97.6851851851852,97.6608187134503,97.7777777777778
9.5,98.1481481481482,98.2456140350877,97.7777777777778
9.75,98.6111111111111,98.8304093567251,97.7777777777778
10,99.0740740740741,99.4152046783626,97.7777777777778
10.25,99.0740740740741,99.4152046783626,97.7777777777778
10.5,99.0740740740741,99.4152046783626,97.7777777777778
10.75,99.537037037037,99.4152046783626,100
11,100,100,100
11.25,100,100,100
11.5,100,100,100
11.75,100,100,100
12,100,100,100
12.25,100,100,100
12.5,100,100,100
12.75,100,100,100
13,100,100,100
13.25,100,100,100
13.5,100,100,100
13.75,100,100,100
14,100,100,100
14.25,100,100,100
14.5,100,100,100
14.75,100,100,100
15,100,100,100
15.25,100,100,100
15.5,100,100,100
15.75,100,100,100
16,100,100,100
16.25,100,100,100
16.5,100,100,100
16.75,100,100,100
17,100,100,100
17.25,100,100,100
17.5,100,100,100
17.75,100,100,100
18,100,100,100
18.25,100,100,100
18.5,100,100,100
