"","VPT (n = 171)","FT (n = 45)","p-value"
"Shared variables","","",""
"GA at birth, weeksᵃ","29.6 ± 2.3","39.7 ± 0.7","<0.001"
"Sexᵇ","","","0.433"
"  Male","89 (52.0)","27 (60.0)",""
"  Female","82 (48.0)","18 (40.0)",""
"Corrected age at MRI, yearsᵃ","5.67 ± 0.15","5.63 ± 0.14","0.052"
"Total Intracranial Volume, cm³ᵃ","1317 ± 154","1346 ± 138","0.227"
"Relative Motion, mmᵃ","1.12 ± 0.12","1.02 ± 0.08","<0.001"
"VPT clinical variables","","",""
"Birth weight, grams","1335.1 ± 423.4","—","—"
"Maternal social risk score","2.7 ± 2.1","—","—"
"Global brain abnormality scoreᶜ","4.0 [2.0, 7.0]","—","—"
"BPD grade","","",""
"  No BPD","111 (64.9)","—","—"
"  Grade 1","35 (20.5)","—","—"
"  Grade 2","23 (13.5)","—","—"
"  Grade 3","2 (1.2)","—","—"
"ROP","51 (29.8)","—","—"
"Sepsis","14 (8.2)","—","—"
