"","ACC (n=171)","SW (n=169)","GE (n=170)","Strength (n=169)"
"Stability selection","","","",""
"Top exposure (frequency)","GBA (94%)","ROP (77%)","BWZ (55%)","GBA (69%)"
"2nd exposure (frequency)","BPD (58%)","GA (45%)","BPD (41%)","GA (61%)"
"Full-sample model","","","",""
"Test statistic","F = 79.36","χ² = 958.57ᵃ","—","—"
"p","<0.001","<0.001","—","—"
"Variance explained","97.8%","42.8%ᵃ","—","—"
"Functional variance explained","21.4%","3.9%ᵃ","—","—"
"Selected exposure contribution","","","",""
"Test statistic (vs forced covariate model only)","F = 284.69","χ² = 2112.79ᵃ","—","—"
"p (vs forced covariate model only)","<0.001","<0.001","—","—"
"Functional variance explained increment","7.7%","2.1%ᵃ","—","—"
"Beta direction","Positive","Positive","—","—"
"CI excludes zero","11–100%","15.5–63.1%, 65.8–68.5%","—","—"
