"Metric","Covariate model","Predictor","Test statistic","p","Functional Variance Explained (%)","Semi-partial r"
"Strength","Unadjusted","Group (VPT vs FT)","2.10","0.085","1.74","0.132"
"Strength","TIV","Group (VPT vs FT)","175.72","<0.001","1.74","0.078"
"Strength","TIV","TIV","6312.60","<0.001","43.62","0.630"
"Strength","Age at MRI","Group (VPT vs FT)","310.54","<0.001","1.74","0.136"
"Strength","Age at MRI","Age at MRI","337.91","<0.001","0.40","0.078"
"Strength","Sex","Group (VPT vs FT)","242.16","<0.001","1.74","0.106"
"Strength","Sex","Sex","3113.82","<0.001","11.64","0.322"
"Strength","Relative motion","Group (VPT vs FT)","939.85","<0.001","1.74","0.252"
"Strength","Relative motion","Relative motion","2629.66","<0.001","10.99","0.387"
"Strength","Fully adjusted","Group (VPT vs FT)","444.04","<0.001","1.74","0.154"
"Strength","Fully adjusted","Age at MRI","106.33","<0.001","0.40","0.027"
"Strength","Fully adjusted","TIV","5141.48","<0.001","43.62","0.468"
"Strength","Fully adjusted","Sex","123.88","<0.001","11.64","0.024"
"Strength","Fully adjusted","Relative motion","1519.42","<0.001","10.99","0.213"
"Normalized GE","Unadjusted","Group (VPT vs FT)","19.94","<0.001","2.56","0.160"
"Normalized GE","TIV","Group (VPT vs FT)","187.44","<0.001","2.56","0.149"
"Normalized GE","TIV","TIV","371.94","<0.001","4.27","0.185"
"Normalized GE","Age at MRI","Group (VPT vs FT)","149.15","<0.001","2.56","0.132"
"Normalized GE","Age at MRI","Age at MRI","17.08","<0.001","0.29","0.033"
"Normalized GE","Sex","Group (VPT vs FT)","162.27","<0.001","2.56","0.136"
"Normalized GE","Sex","Sex","11.13","<0.001","-0.00","0.011"
"Normalized GE","Relative motion","Group (VPT vs FT)","35.61","<0.001","2.56","0.055"
"Normalized GE","Relative motion","Relative motion","467.07","<0.001","8.47","0.213"
"Normalized GE","Fully adjusted","Group (VPT vs FT)","57.33","<0.001","2.56","0.073"
"Normalized GE","Fully adjusted","Age at MRI","10.21","<0.001","0.29","0.025"
"Normalized GE","Fully adjusted","TIV","497.56","<0.001","4.27","0.158"
"Normalized GE","Fully adjusted","Sex","584.61","<0.001","-0.00","0.087"
"Normalized GE","Fully adjusted","Relative motion","368.42","<0.001","8.47","0.167"
"Normalized ACC","Unadjusted","Group (VPT vs FT)","76.87","<0.001","4.11","0.203"
"Normalized ACC","TIV","Group (VPT vs FT)","307.11","<0.001","4.11","0.036"
"Normalized ACC","TIV","TIV","354.95","<0.001","5.48","0.041"
"Normalized ACC","Age at MRI","Group (VPT vs FT)","252.40","<0.001","4.11","0.032"
"Normalized ACC","Age at MRI","Age at MRI","14.18","<0.001","0.46","0.008"
"Normalized ACC","Sex","Group (VPT vs FT)","268.35","<0.001","4.11","0.034"
"Normalized ACC","Sex","Sex","96.10","<0.001","1.22","0.020"
"Normalized ACC","Relative motion","Group (VPT vs FT)","90.15","<0.001","4.11","0.018"
"Normalized ACC","Relative motion","Relative motion","365.58","<0.001","9.71","0.042"
"Normalized ACC","Fully adjusted","Group (VPT vs FT)","137.35","<0.001","4.11","0.022"
"Normalized ACC","Fully adjusted","Age at MRI","3.45","<0.001","0.46","0.003"
